_id,Season,AwayTeam,HomeTeam,MatchDate,Date,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,League,HomeResultScore,AwayResultScore,HDI,ADI,HGL5,AGL5,HTHF5,ATAF5,HDIL5,ADIL5,HTFL5,ATFL5,HT_PTS_HOME,HT_PTS_AWAY,HTSP,AT_PTS_AWAY,AT_PTS_HOME,ATSP,HTASG,ATASG,SGD
"ObjectId(""682b8a7d0b6a9f2c872ef65a"")",2425,Udinese,Atalanta,2024-11-10T00:00:00.000Z,10/11/2024,H,2,1,0.0,1.0,11.0,11.0,4.0,6.0,4.0,5.0,10.0,12.0,1.0,1.0,0.0,0.0,I1,3,0,5.0,5.0,18.0,6.0,12.0,4.0,25.0,105.0,15.0,6.0,32,17,49,20,29,49,34,19,15
"ObjectId(""682b8a7d0b6a9f2c872ef65b"")",2425,Udinese,Parma,2024-09-16T00:00:00.000Z,16/09/2024,A,2,3,2.0,0.0,9.0,18.0,3.0,6.0,5.0,6.0,8.0,18.0,2.0,3.0,1.0,0.0,I1,0,3,35.0,15.0,3.0,1.0,4.0,1.0,15.0,20.0,4.0,7.0,20,29,49,20,29,49,25,19,6
"ObjectId(""682b8a7d0b6a9f2c872ef65c"")",2425,Udinese,Torino,2025-04-23T00:00:00.000Z,23/04/2025,H,2,0,1.0,0.0,10.0,10.0,4.0,6.0,8.0,7.0,11.0,13.0,2.0,2.0,0.0,0.0,I1,3,0,10.0,10.0,7.0,4.0,11.0,5.0,50.0,50.0,6.0,1.0,25,22,47,20,29,49,17,19,-2
"ObjectId(""682b8a7d0b6a9f2c872ef65d"")",2425,Udinese,Genoa,2025-04-04T00:00:00.000Z,04/04/2025,H,1,0,0.0,0.0,13.0,5.0,7.0,2.0,1.0,2.0,16.0,14.0,2.0,2.0,0.0,0.0,I1,3,0,10.0,10.0,8.0,5.0,13.0,5.0,35.0,85.0,5.0,7.0,22,25,47,20,29,49,19,19,0
"ObjectId(""682b8a7d0b6a9f2c872ef65e"")",2425,Udinese,Lecce,2025-02-21T00:00:00.000Z,21/02/2025,A,0,1,0.0,1.0,10.0,12.0,1.0,5.0,11.0,8.0,15.0,11.0,1.0,3.0,0.0,0.0,I1,0,3,5.0,15.0,3.0,6.0,5.0,8.0,45.0,95.0,5.0,7.0,15,33,48,20,29,49,12,19,-7
"ObjectId(""682b8a7d0b6a9f2c872ef65f"")",2425,Udinese,Inter,2025-03-30T00:00:00.000Z,30/03/2025,H,2,1,2.0,0.0,13.0,11.0,3.0,4.0,2.0,4.0,8.0,14.0,2.0,0.0,0.0,0.0,I1,3,0,10.0,0.0,11.0,4.0,13.0,6.0,20.0,95.0,10.0,10.0,42,9,51,20,29,49,38,19,19
"ObjectId(""682b8a7d0b6a9f2c872ef660"")",2425,Udinese,Lazio,2025-03-10T00:00:00.000Z,10/03/2025,D,1,1,1.0,1.0,10.0,15.0,5.0,4.0,4.0,9.0,9.0,11.0,2.0,4.0,0.0,0.0,I1,1,1,10.0,20.0,10.0,5.0,6.0,8.0,70.0,100.0,11.0,13.0,30,15,45,20,29,49,33,19,14
"ObjectId(""682b8a7d0b6a9f2c872ef661"")",2425,Udinese,Verona,2025-01-04T00:00:00.000Z,04/01/2025,D,0,0,0.0,0.0,13.0,15.0,3.0,6.0,7.0,3.0,14.0,16.0,3.0,2.0,1.0,0.0,I1,1,1,40.0,10.0,4.0,8.0,3.0,7.0,75.0,95.0,6.0,7.0,16,34,50,20,29,49,14,19,-5
"ObjectId(""682b8a7d0b6a9f2c872ef662"")",2425,Udinese,Venezia,2024-10-30T00:00:00.000Z,30/10/2024,H,3,2,1.0,2.0,18.0,15.0,7.0,5.0,2.0,6.0,9.0,13.0,3.0,4.0,0.0,1.0,I1,3,0,15.0,45.0,2.0,4.0,3.0,4.0,25.0,60.0,4.0,6.0,20,29,49,20,29,49,15,19,-4
"ObjectId(""682b8a7d0b6a9f2c872ef663"")",2425,Udinese,Napoli,2025-02-09T00:00:00.000Z,09/02/2025,D,1,1,1.0,1.0,18.0,8.0,4.0,4.0,6.0,6.0,11.0,10.0,0.0,1.0,0.0,0.0,I1,1,1,0.0,5.0,6.0,6.0,12.0,8.0,10.0,100.0,13.0,5.0,42,9,51,20,29,49,30,19,11
"ObjectId(""682b8a7d0b6a9f2c872ef664"")",2425,Udinese,Roma,2024-09-22T00:00:00.000Z,22/09/2024,H,3,0,1.0,0.0,14.0,9.0,6.0,3.0,2.0,1.0,15.0,11.0,2.0,2.0,0.0,0.0,I1,3,0,10.0,10.0,1.0,4.0,0.0,4.0,0.0,35.0,3.0,10.0,38,14,52,20,29,49,34,19,15
"ObjectId(""682b8a7d0b6a9f2c872ef665"")",2425,Udinese,Monza,2024-12-09T00:00:00.000Z,09/12/2024,A,1,2,0.0,1.0,27.0,10.0,4.0,3.0,10.0,1.0,12.0,16.0,1.0,2.0,0.0,0.0,I1,0,3,5.0,10.0,4.0,4.0,2.0,1.0,110.0,85.0,2.0,1.0,8,41,49,20,29,49,12,19,-7
"ObjectId(""682b8a7d0b6a9f2c872ef666"")",2425,Udinese,Empoli,2024-11-25T00:00:00.000Z,25/11/2024,D,1,1,1.0,0.0,4.0,16.0,2.0,3.0,1.0,8.0,8.0,13.0,3.0,2.0,0.0,0.0,I1,1,1,15.0,10.0,1.0,6.0,5.0,3.0,50.0,90.0,5.0,3.0,13,34,47,20,29,49,9,19,-10
